id,date,author,text,type,author_channel_url,author_channel_id,edited_date,parent_post_id,parent_username,direct_reply_to,likes
UgwtZ4-71GpMxVsqmBR4AaABAg,2024-06-03T09:29:57Z,@akhmadrusyda4987,iuranya mending ambil tu harta para koruptor,Thread,http://www.youtube.com/@akhmadrusyda4987,UC519lArVwj0eVQqq4SWQBfg,2024-06-03T09:29:57Z,,,,0
UgzkaM42GSe8hvVNthR4AaABAg,2024-06-03T08:57:57Z,@indrahaerudin733,Mending sekalian 10%  tapi all in,Thread,http://www.youtube.com/@indrahaerudin733,UCu8tST7oy2u946xaDN3xhYw,2024-06-03T08:57:57Z,,,,0
Ugx9gxr8ilSV66PiG6F4AaABAg,2024-06-03T08:48:01Z,@sutonotono7881,orang mau berhenti aja buat polemik aja pikir dong,Thread,http://www.youtube.com/@sutonotono7881,UC7NSWNsbuT21xX-T4yOtVKw,2024-06-03T08:48:01Z,,,,0
UgxbdTlOCVD4OJScbbF4AaABAg,2024-06-03T08:44:20Z,@user-cn4oo4fp1v,Hhhhh panik jelang finish,Thread,http://www.youtube.com/@user-cn4oo4fp1v,UCtO_I6iesQ1gKlpAIoIiI6g,2024-06-03T08:44:20Z,,,,0
UgzWrl91acCQoSdVMr94AaABAg,2024-06-03T08:42:43Z,@harjase1,"Gimana ini, kok jadi bisnis model, kalo bisnis ,ya bisnis saja, jangan ada pemaksaan",Thread,http://www.youtube.com/@harjase1,UCFDSyZFW2NBiiKm7czfi9qQ,2024-06-03T08:42:43Z,,,,0
UgyDlNKmf5_AL0fcbzp4AaABAg,2024-06-03T08:34:45Z,@user-cn4oo4fp1v,"Produk org panic, main paksa lgiiii",Thread,http://www.youtube.com/@user-cn4oo4fp1v,UCtO_I6iesQ1gKlpAIoIiI6g,2024-06-03T08:34:45Z,,,,0
UgwJ6b6zDrBgeDQylmJ4AaABAg,2024-06-03T08:33:41Z,@yzalassgf,Yg aneh itu pendukungnya,Thread,http://www.youtube.com/@yzalassgf,UC6XoIpQJZ9zMGB-SzAiID0Q,2024-06-03T08:33:41Z,,,,0
UgzcTN8Klqz_M0YDemV4AaABAg,2024-06-03T08:11:56Z,@adityaawaludin4644,Tinggal tunggu waktu nya aja untuk refolusi,Thread,http://www.youtube.com/@adityaawaludin4644,UCFsxLSvJ_2bBFeYSIiTKWiA,2024-06-03T08:11:56Z,,,,0
Ugye6pPex2tpuawp5FR4AaABAg,2024-06-03T08:09:15Z,@Cahaya1818-tv1sn,Semoga pemerintah peka  ambil yg bermampaat utntuk masyrakat banyak  yg bagus nya  diambil  yg banyak mampaat terbanyak  lebih baik paling prioritas kan  yg mayoritas rakyat  baru tercipta negri adil makmur  🙏🙏🙏🙏🤲🤲,Thread,http://www.youtube.com/@Cahaya1818-tv1sn,UCWASFhF6XNcl2sGSVy8gYMA,2024-06-03T08:09:15Z,,,,0
UgzOrlmXj40SOVhdpC54AaABAg,2024-06-03T08:05:52Z,@DehirYoga-mx9mx,Koruftor2 banyak koropsi . Indonesia nagaranya nagara korofsi UU pemerintah gk ada hukum,Thread,http://www.youtube.com/@DehirYoga-mx9mx,UCim9buD_JB0rIy9V7VpJrGA,2024-06-03T08:05:52Z,,,,0
UgxtMYOjg11dx5xYxqd4AaABAg,2024-06-03T07:44:29Z,@WahyuJati-fz8sv,Ini yang menerima dengan lapang dada adalah para pekerja dari China....karena dengan Tapera adalah awal mereka untuk membuat Pecinan di Indonesia 😂...kalau UU omnibuslow itu buruh sistem outsourcing kalau abis kontrak gimana???😂,Thread,http://www.youtube.com/@WahyuJati-fz8sv,UCuuSxFuU_gb1jXE2lSlol-g,2024-06-03T07:44:29Z,,,,0
Ugw1zaMHkWZfNM5Uxj14AaABAg,2024-06-03T07:38:33Z,@pangeransamudera5676,Makanya.pemeritah.indonesia.tak.ada.uang.perkerjo..kalau.kita.kerja.damama.kerja.contoh.kerja.kilang..kami.setiap..bulan.potng.gaji..Rm.500.majkan.menabah.Rm.511.pekeja.setip.perbuan.untung..,Thread,http://www.youtube.com/@pangeransamudera5676,UC39FkhbAgs3LmnFrFm5qtjg,2024-06-03T07:38:33Z,,,,0
Ugwo6eMHsSCqq7OdY8l4AaABAg,2024-06-03T07:35:40Z,@karsoeyang8687,Belum diputuskan tapera tabungan memeras rakyat yang mengantri sudah banyak nya yang KOREPSI kt rakyat jlatah,Thread,http://www.youtube.com/@karsoeyang8687,UCN2QkUmeYxAz-lVWIMcXt2Q,2024-06-03T07:35:40Z,,,,0
Ugzz1Obs5Kd5K5Ftbal4AaABAg,2024-06-03T07:31:18Z,@bayuwibisetiawan422,"Dana Tapera untuk siapa?
Ya untuk KORUPTOR lah.",Thread,http://www.youtube.com/@bayuwibisetiawan422,UChCExjoyjj3L1vbeZEawlng,2024-06-03T07:31:18Z,,,,1
Ugyl5kLPwv3uRZAviyd4AaABAg,2024-06-03T07:29:46Z,@pangeransamudera5676,Kalau potongang.gaji...8.jt..selama..30th..biasa..kami..asal.indonesia....macam.itu.kami.berbulan..Rm3.500.selama.30th..,Thread,http://www.youtube.com/@pangeransamudera5676,UC39FkhbAgs3LmnFrFm5qtjg,2024-06-03T07:29:46Z,,,,0
UgySCeJPfdQ6zPjoFlp4AaABAg,2024-06-03T07:22:21Z,@KantenAn-bk9sz,"oh andaikata dunia tak punya tentara oh tentu saja kejahatan berkuasa
 pemerintah ,pemerintah  ku ucapkan trimakasih.
sandang-pangan -papan itu harus dipunyai
is ok",Thread,http://www.youtube.com/@KantenAn-bk9sz,UCWq0CmuLHzj-Krit1PJpzWg,2024-06-03T07:22:21Z,,,,0
Ugz_E0rHEXOQFkCppSR4AaABAg,2024-06-03T07:13:33Z,@JumMari-kz1jp,Angel wes a,Thread,http://www.youtube.com/@JumMari-kz1jp,UC8MsWHpM7eF-mZmNOJiCOSQ,2024-06-03T07:13:33Z,,,,0
UgxoT8fsQBEZxDNJwTJ4AaABAg,2024-06-03T07:12:44Z,@damresuker7256,"Yang mendapat keuntungan pasti pengurus TAPERA, mereka digaji puluhan juta.  Rp 43 juta/bln itu didaptkan dari  berapa ribu karyawan/ASN yang wajib menabung/bln?",Thread,http://www.youtube.com/@damresuker7256,UC55skAF2tJmOv0ITMsn5REA,2024-06-03T07:12:44Z,,,,1
Ugy1thcVESLZ-td9Aml4AaABAg,2024-06-03T07:12:25Z,@andiarmin964,"Gotong Royong kenapa bukan negara yang membantu, terus apakah dananya dijamin kembali utuh kemudian subsidi silang apakah dananya aman kalau ada yang nunggak",Thread,http://www.youtube.com/@andiarmin964,UC8OuyPUAXyFLDtDr16Z7agw,2024-06-03T07:12:25Z,,,,0
Ugy3paUxmjIE2Ve1Hyt4AaABAg,2024-06-03T07:11:05Z,@mayyadiindonesia,"Mukidi enak ngomong:program baru pasti kontrovesial,nanti klo sudah jalan kayak BPJS sangat bermanfaat,,itu cuma menghimpun duit rakyat,dan ndk tau kapan dpt rumah bagi yg gk punya rumah,lah yg punya rumah tetep bayar tpi dapet pahala bkn rumah",Thread,http://www.youtube.com/@mayyadiindonesia,UCVjdqCrjiUrAP21vnvS3NYQ,2024-06-03T07:11:05Z,,,,0
Ugyrjz-q2OuuFmoQp1F4AaABAg,2024-06-03T06:51:17Z,@santiprini4386,Ga masuk akal ...,Thread,http://www.youtube.com/@santiprini4386,UClVF2tETpqxzGE6LOa-8GmQ,2024-06-03T06:51:17Z,,,,0
UgxS-O_MidLU3by9VYZ4AaABAg,2024-06-03T06:50:15Z,@santiprini4386,MENOLAK TAPERA,Thread,http://www.youtube.com/@santiprini4386,UClVF2tETpqxzGE6LOa-8GmQ,2024-06-03T06:50:15Z,,,,0
UgwsE5W0FpY_fk7_K8N4AaABAg,2024-06-03T06:47:50Z,@user-jh3ll3ub5n,"MUNGKIN CARA UNTUK MENAIKKAN GAJI BURUH,MANFAAT NYA TAPERA.",Thread,http://www.youtube.com/@user-jh3ll3ub5n,UCtIWKkrzPDs_swqNY4GowWQ,2024-06-03T06:47:50Z,,,,0
Ugwl9ibC3bKpL_mlgeF4AaABAg,2024-06-03T06:33:41Z,@gilangahmad6576,"Saya salut dengan kesantunan 3 narsum dari buruh, sangat santun meskipun dalam hati mereka gemas dengan wacana kebijakan tsb. Di sisi lain, 1 orang perwakilan Tapera juga ndak mampu meyakinkan, mungkin karena memang dasar landasan kebijakan Tapera yg lemah. Selemah dan serapuh rumah laba2",Thread,http://www.youtube.com/@gilangahmad6576,UCCx6EZn_8p_X5J9iCy1z7-g,2024-06-03T06:33:41Z,,,,1
Ugw-Sg7Kxs9IaDC97UV4AaABAg,2024-06-03T06:33:37Z,@sumardisumardi6169,Tapera nyusahin rakyat membebani rakyat memeras rakyat 😂😂😂😂,Thread,http://www.youtube.com/@sumardisumardi6169,UC-TBv4QGlASuLIqUsI7GGMw,2024-06-03T06:33:37Z,,,,0
UgxatP0zC_fGSQooPkZ4AaABAg,2024-06-03T06:18:17Z,@SamsungSung-eo3kh,Tapera untuk IKN apa untuk MAKAN SIANG gratis.,Thread,http://www.youtube.com/@SamsungSung-eo3kh,UCcU2vMKkyGfRaW2fD0zJkxQ,2024-06-03T06:18:17Z,,,,0
